title,description
ATM Implementation - Software Engineer / Senior Software Engineer,"Experience : 4 - 8 Years of relevant experience working in the skillset Skillset: Hands on experience on ATM/CRM/BNA System. Should have knowledge on ATM terminals of NCR / Wincor / Okie / Hitachi makes Extensive experience on XFS layer. Understanding of client server model. Should have experience on Screen Design, Screen Flow, States, etc Should have working experience on NDC/DDC Protocol. Should have working experience with NDC/DDC protocol Setup. Working knowledge on ISO / API Interfaces. Experience on Terminal driving certifications like ADVT and MTIP. Should have Working experience Linux and MySQL / MariaDB. Batch Scripting will have added advantage"
Senior Software Engineer,"Applies knowledge of software development best practices,including coding standards,secure coding,code reviews,source control management,build processes,testing,and operations . Contributes to requirement (functional and non-functional) analysis and estimations ."
Sr.Lead Software Engineer,"Bachelor s Degree . At least 10 years of professional software engineering experience (internship experience does not apply) . At least 1 year of experience with cloud computing (AWS,Microsoft Azure,Google Cloud) Extensive experience in software development across transactional and big data systems with a foundational understanding of various technologies and methodologies"
Senior Software Engineer,"Applies knowledge of software development best practices,including coding standards,secure coding,code reviews,source control management,build processes,testing,and operations . Contributes to requirement (functional and non-functional) analysis and estimations . Working knowledge of tools like Jenkins,Testlink,SVN,JIRA . Open to learn new technologies required for project ."
Python Software Developer,". Strong proficiency in Python and experience with FastAPI or similar frameworks Hands-on experience with Generative AI models (OpenAI,Hugging Face,etc.) Experience with RESTful APIs,asynchronous programming,and containerization (Docker)"
Software Developer (Mainframe Assembler),"Bachelor s degree in computer science,Engineering,or a related field Preferred Qualifications: . . 3 years of development experience Very good Hands-on in Assembler programming Good experience on Cobol,JCL,VSAM,Db2,CICS,Mainframe Utilities, Good verbal and written communication and interpersonal skills"
Cloud Devops Engineer,"JD for the Current running requirement of Cloud DevOps Engineer Role for FCS Software Solutions. Role: Cloud DevOps Engineer . Must have: 1-Very experienced with Azure DevOps (Build & Release pipelines as well as the library,test plans & artifacts features) Good to have: 1-Familiarity with Monitoring (Datadog or Azure Insights in example)"
Java Full Stack Developer (Java + React),"Experience working with cloud technology Azure,OpenShift,AWS,Docker etc. Results-driven Java Full stack Developer with 4 to 5 years of hands-on experience in building scalable web applications using Java,Spring Boot,and front-end technologies like React Preferred Qualifications: ."
Java Developer,"The overall objective of this role is to building robust,high-performance,large-scale applications. . Hands-on experience in Web technologies (HTML,CSS,React JS / Angular/ Java Script),REST-APIs,and Backend using Java / J2EE technologies. Databases - RDBMS preferably Oracle,NoSQL preferably MongoDB."
NLP/ML Engineer,Were on the lookout for a NLP Specialist Expert to be a key player in our dynamic team. . Years of Experience : 6 to 9 Years
Staff Software Engineer,R1 RCM India is proud to be recognized amongst Indias Top 50 Best Companies to Work For TM 2023 by Great Place To Work Institute . Must have skills 6-10 Years of experience in IT including 3+ years in developing / applying ML /AI models to practical and comprehensive technology solutions. Must be graduate in Computer Science preferably B Tech / BE or MCA etc.
P2-Staff Software Engineer - RPA Engineering_RPA-3,R1 RCM India is proud to be recognized amongst Indias Top 50 Best Companies to Work For TM 2023 by Great Place To Work Institute . Must have skills 5-8 Years of experience in IT including 3+ years in developing / applying ML /AI models to practical and comprehensive technology solutions. Must be graduate in Computer Science preferably B Tech / BE or MCA etc.
